,fixed acidity_val,volatile acidity_val,citric acid_val,residual sugar_val,chlorides_val,free sulfur dioxide_val,total sulfur dioxide_val,density_val,pH_val,sulphates_val,alcohol_val,quality_val,fixed acidity_z,volatile acidity_z,citric acid_z,residual sugar_z,chlorides_z,free sulfur dioxide_z,total sulfur dioxide_z,density_z,pH_z,sulphates_z,alcohol_z,quality_z
13,7.8,0.61,0.29,1.6,0.114,9.0,29.0,0.9974,3.26,1.56,9.1,5,0.2985474337867381,0.45909377979771565,0.0976911230040726,0.6660617859658576,0.5639347473167605,0.657454052698547,0.5311775247568079,0.3462689846149235,0.3311766102216806,5.32210116796055,1.2418478537860334,0.787822640922809
14,8.9,0.62,0.18,3.8,0.176,52.0,145.0,0.9986,3.16,0.88,9.2,5,0.3334360555471099,0.5149585455141305,0.4671639600066559,0.8947896617047238,1.881665507905276,3.454668962073944,2.996262667215974,0.982285418363013,0.9791044209943073,1.3092119387004189,1.1479806048222734,0.787822640922809
15,8.9,0.62,0.19,3.9,0.17,51.0,148.0,0.9986,3.17,0.93,9.2,5,0.3334360555471099,0.5149585455141305,0.41581349791477146,0.9657374547806594,1.75414317623542,3.359038194288537,3.087489568732511,0.982285418363013,0.9143116399170458,1.6042773232048406,1.1479806048222734,0.787822640922809
17,8.1,0.56,0.28,1.7,0.368,16.0,56.0,0.9968,3.11,1.28,9.3,5,0.12618830033205244,0.1797699512156426,0.046340660912188414,0.5951139928899222,5.96238012134068,0.011961321799300349,0.2898645888920292,0.028260767740937578,1.3030683263806235,3.66973501473579,1.0541133558585118,0.787822640922809
19,7.9,0.32,0.51,1.8,0.341,17.0,56.0,0.9969,3.04,1.08,9.2,6,0.24109438930184252,1.1609844259783102,1.22740128902553,0.5241661998139866,5.388529628826326,0.1075920895847071,0.2898645888920292,0.08126213721993523,1.7566177939214629,2.489473476718105,1.1479806048222734,0.4508483549823745
33,6.9,0.605,0.12,10.7,0.073,40.0,83.0,0.9993,3.45,0.52,9.4,6,0.8156248341507949,0.4311613969395083,0.7752667325579624,5.790187383944274,0.30746785242725816,2.3070997486490628,1.1109067025408663,1.3532950047159966,0.8998862302463171,0.8152588297314148,0.9602461068947519,0.4508483549823745
38,5.7,1.13,0.09,1.5,0.172,7.0,19.0,0.994,3.5,0.48,9.8,4,1.505061367969538,3.364061597051279,0.9293181188336156,0.7370095790417932,1.7966506201253716,0.8487155882693604,0.8352671964785994,1.4557775776711732,1.2238501356326303,1.0513111373349522,0.5847771110397104,2.0264936368279924
42,7.5,0.49,0.2,2.6,0.332,8.0,14.0,0.9968,3.21,0.9,10.5,6,0.4709065672414237,0.21128340879926055,0.36446303582288697,0.0434161447934977,5.197246131321542,0.7530848204839538,0.9873120323394952,0.028260767740937578,0.6551405156079939,1.4272380925021877,0.07229363170661092,0.4508483549823745
43,8.1,0.66,0.22,2.2,0.069,9.0,23.0,0.9968,3.3,1.2,10.3,5,0.12618830033205244,0.7384176083797893,0.2617621116391182,0.24037502751024437,0.3924827402071622,0.657454052698547,0.7136313277898828,0.028260767740937578,0.07200548591262876,3.1976303995287156,0.11544086622090897,0.787822640922809
45,4.6,0.52,0.15,2.1,0.054,8.0,65.0,0.9934,3.9,0.56,13.1,4,2.137044857303386,0.043689111650016335,0.6212153462823091,0.31132282058617994,0.7112885693818033,0.7530848204839538,0.5635452934416415,1.773785794545218,3.815561378723146,0.5792065221278776,2.512842104764378,2.0264936368279924
57,7.5,0.63,0.12,5.1,0.111,50.0,110.0,0.9983,3.26,0.77,9.4,5,0.4709065672414237,0.5708233112305452,0.7752667325579624,1.8171109716918856,0.5001735814818322,3.26340742650313,1.9319488161897034,0.8232813099259612,0.3311766102216806,0.660068092790692,0.9602461068947519,0.787822640922809
81,7.8,0.43,0.7,1.9,0.464,22.0,67.0,0.9974,3.13,1.28,9.4,5,0.2985474337867381,0.5464720030977487,2.2030600687713333,0.45321840673805114,8.002737428058381,0.5857459285117409,0.6243632277859998,0.3462689846149235,1.1734827642260977,3.66973501473579,0.9602461068947519,0.787822640922809
83,7.3,0.67,0.26,1.8,0.401,16.0,51.0,0.9969,3.16,1.14,9.4,5,0.5858126562112143,0.7942823740962041,0.05636026327158051,0.5241661998139866,6.663752945524891,0.011961321799300349,0.13781975303113345,0.08126213721993523,0.9791044209943073,2.8435519381234093,0.9602461068947519,0.787822640922809
86,8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,6,0.16107692209242377,0.21128340879926055,0.046340660912188414,0.45321840673805114,0.4789198595368562,0.3944843929409274,2.722581962666361,0.24026624565692817,2.469338385771354,7.623611167095035,0.49090986207595044,0.4508483549823745
88,9.3,0.39,0.44,2.1,0.107,34.0,125.0,0.9978,3.14,1.22,9.5,5,0.5632482334866911,0.7699310659634073,0.8679480543823389,0.31132282058617994,0.4151586937019279,1.733315141936622,2.3880833237723906,0.5582744625309729,1.1086899831488333,3.3156565533304843,0.8663788579309919,0.787822640922809
91,8.6,0.49,0.28,1.9,0.11,20.0,136.0,0.9972,2.93,1.95,9.9,6,0.16107692209242377,0.21128340879926055,0.046340660912188414,0.45321840673805114,0.4789198595368562,0.3944843929409274,2.722581962666361,0.24026624565692817,2.469338385771354,7.623611167095035,0.49090986207595044,0.4508483549823745
92,8.6,0.49,0.29,2.0,0.11,19.0,133.0,0.9972,2.93,1.98,9.8,5,0.16107692209242377,0.21128340879926055,0.0976911230040726,0.38227061366211557,0.4789198595368562,0.2988536251555206,2.631355061149824,0.24026624565692817,2.469338385771354,7.80065039779769,0.5847771110397104,0.787822640922809
95,4.7,0.6,0.17,2.3,0.058,17.0,106.0,0.9932,3.85,0.6,12.9,6,2.0795918128184905,0.40322901408130096,0.5185144220985403,0.16942723443430907,0.6262736816018989,0.1075920895847071,1.8103129475009867,1.8797885335032132,3.4915974733368325,0.3431542145243409,2.325107606836858,0.4508483549823745
106,7.8,0.41,0.68,1.7,0.467,18.0,69.0,0.9973,3.08,1.31,9.3,5,0.2985474337867381,0.6582015345305782,2.100359144587565,0.5951139928899222,8.06649859389331,0.20322285737011386,0.6851811621303582,0.2932676151359258,1.497446669612411,3.846774245438443,1.0541133558585118,0.787822640922809
109,8.1,0.785,0.52,2.0,0.122,37.0,153.0,0.9969,3.21,0.69,9.3,5,0.12618830033205244,1.436727179834973,1.2787517511174142,0.38227061366211557,0.7339645228765689,2.0202074452928422,3.2395344045934067,0.08126213721993523,0.6551405156079939,0.18796347758361737,1.0541133558585118,0.787822640922809
120,7.3,1.07,0.09,1.7,0.178,10.0,89.0,0.9962,3.3,0.57,9.0,5,0.5858126562112143,3.0288730027527917,0.9293181188336156,0.5951139928899222,1.9241729517952282,0.5618232849131403,1.2933605055739412,0.2897474491331072,0.07200548591262876,0.520193445226994,1.3357151027497933,0.787822640922809
126,8.2,1.33,0.0,1.7,0.081,3.0,12.0,0.9964,3.53,0.49,10.9,5,0.06873525584715741,4.4813569113795735,1.3914722776605752,0.5951139928899222,0.13743807686744955,1.2312386594109874,1.0481299666838535,0.18374471017511187,1.418228478864418,0.9922980604340679,0.4477626275616524,0.787822640922809
127,8.1,1.33,0.0,1.8,0.082,3.0,12.0,0.9964,3.54,0.48,10.9,5,0.12618830033205244,4.4813569113795735,1.3914722776605752,0.5241661998139866,0.11618435492247346,1.2312386594109874,1.0481299666838535,0.18374471017511187,1.4830212599416823,1.0513111373349522,0.4477626275616524,0.787822640922809
142,5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,6,1.7923265903940142,1.0492548945454807,1.3914722776605752,0.5241661998139866,0.7963034571617075,1.0638997674387747,0.5027273590972833,2.7278104451672345,2.3901201950233637,0.7780942465924606,3.357647345438221,0.4508483549823745
144,5.2,0.34,0.0,1.8,0.05,27.0,63.0,0.9916,3.68,0.79,14.0,6,1.7923265903940142,1.0492548945454807,1.3914722776605752,0.5241661998139866,0.7963034571617075,1.0638997674387747,0.5027273590972833,2.7278104451672345,2.3901201950233637,0.7780942465924606,3.357647345438221,0.4508483549823745
147,7.6,0.49,0.26,1.6,0.236,10.0,88.0,0.9968,3.11,0.8,9.3,5,0.41345352275652864,0.21128340879926055,0.05636026327158051,0.6660617859658576,3.15688882460384,0.5618232849131403,1.262951538401762,0.028260767740937578,1.3030683263806235,0.8371073234933449,1.0541133558585118,0.787822640922809
151,9.2,0.52,1.0,3.4,0.61,32.0,69.0,0.9996,2.74,2.0,9.4,4,0.505795189001795,0.043689111650016335,3.743573931527866,0.6109984894009818,11.105780832024887,1.5420536063658086,0.6851811621303582,1.5122991131530483,3.700401226239349,7.918676551599458,0.9602461068947519,2.0264936368279924
163,7.4,0.6,0.26,7.3,0.07,36.0,121.0,0.9982,3.37,0.49,9.4,5,0.5283596117263187,0.40322901408130096,0.05636026327158051,3.3779624193624675,0.37122901826218613,1.9245766775074356,2.266447455083674,0.7702799404469636,0.3815439816282134,0.9922980604340679,0.9602461068947519,0.787822640922809
164,7.3,0.59,0.26,7.2,0.07,35.0,121.0,0.9981,3.37,0.49,9.4,5,0.5858126562112143,0.3473642483648862,0.05636026327158051,3.307014626286532,0.37122901826218613,1.8289459097220289,2.266447455083674,0.7172785709679659,0.3815439816282134,0.9922980604340679,0.9602461068947519,0.787822640922809
169,7.5,0.705,0.24,1.8,0.36,15.0,63.0,0.9964,3.0,1.59,9.5,5,0.4709065672414237,0.989809054103655,0.15906118745534942,0.5241661998139866,5.792350345780871,0.08366944598610641,0.5027273590972833,0.18374471017511187,2.015788918230515,5.499140398663203,0.8663788579309919,0.787822640922809
181,8.9,0.61,0.49,2.0,0.27,23.0,110.0,0.9972,3.12,1.02,9.3,5,0.3334360555471099,0.45909377979771565,1.124700364841761,0.38227061366211557,3.879515370733026,0.6813766962971477,1.9319488161897034,0.24026624565692817,1.2382755453033591,2.135395015312799,1.0541133558585118,0.787822640922809
199,6.9,1.09,0.06,2.1,0.061,12.0,31.0,0.9948,3.51,0.43,11.4,4,0.8156248341507949,3.140602534185621,1.0833695051092689,0.31132282058617994,0.5625125157669708,0.37056174934232666,0.47035959041244957,1.031766621839133,1.288642916709892,1.3463765218393735,0.9170988723804538,2.0264936368279924
226,8.9,0.59,0.5,2.0,0.337,27.0,81.0,0.9964,3.04,1.61,9.5,6,0.3334360555471099,0.3473642483648862,1.1760508269336454,0.38227061366211557,5.303514741046422,1.0638997674387747,1.0500887681965079,0.18374471017511187,1.7566177939214629,5.617166552464972,0.8663788579309919,0.4508483549823745
240,8.9,0.635,0.37,1.7,0.263,5.0,62.0,0.9971,3.0,1.09,9.3,5,0.3334360555471099,0.5987556940887525,0.508494819739148,0.5951139928899222,3.7307393171181937,1.039977123840174,0.4723183919251041,0.18726487617793053,2.015788918230515,2.5484865536189893,1.0541133558585118,0.787822640922809
243,15.0,0.21,0.44,2.2,0.075,10.0,24.0,1.00005,3.07,0.84,9.2,7,3.8380717691257193,1.7754968488588718,0.8679480543823389,0.24037502751024437,0.264960408537306,0.5618232849131403,0.6832223606177036,1.7508052758085966,1.5622394506896755,1.0731596310968816,1.1479806048222734,1.6895193508875581
244,15.0,0.21,0.44,2.2,0.075,10.0,24.0,1.00005,3.07,0.84,9.2,7,3.8380717691257193,1.7754968488588718,0.8679480543823389,0.24037502751024437,0.264960408537306,0.5618232849131403,0.6832223606177036,1.7508052758085966,1.5622394506896755,1.0731596310968816,1.1479806048222734,1.6895193508875581
258,7.7,0.41,0.76,1.8,0.611,8.0,45.0,0.9968,3.06,1.26,9.4,5,0.3560004782716331,0.6582015345305782,2.51116284132264,0.5241661998139866,11.127034553969864,0.7530848204839538,0.04463405000194146,0.028260767740937578,1.627032231766937,3.5517088609340215,0.9602461068947519,0.787822640922809
274,7.5,0.65,0.18,7.0,0.088,27.0,94.0,0.99915,3.38,0.77,9.4,5,0.4709065672414237,0.6825528426633746,0.4671639600066559,3.165119040134661,0.011337976747382728,1.0638997674387747,1.445405341434837,1.2737929504975,0.4463367627054749,0.660068092790692,0.9602461068947519,0.787822640922809
281,7.7,0.27,0.68,3.5,0.358,5.0,10.0,0.9972,3.25,1.08,9.9,7,0.3560004782716331,1.4403082545603836,2.100359144587565,0.6819462824769175,5.749842901890919,1.039977123840174,1.1089479010282117,0.24026624565692817,0.3959693912989421,2.489473476718105,0.49090986207595044,1.6895193508875581
291,11.0,0.2,0.48,2.0,0.343,6.0,18.0,0.9979,3.3,0.71,10.5,5,1.5399499897299098,1.8313616145752862,1.0733499027498765,0.38227061366211557,5.431037072716278,0.9443463560547672,0.8656761636507785,0.6112758320099706,0.07200548591262876,0.30598963138538604,0.07229363170661092,0.787822640922809
324,10.0,0.49,0.2,11.0,0.071,13.0,50.0,1.0015,3.16,0.69,9.2,6,0.9654195448809574,0.21128340879926055,0.36446303582288697,6.003030763172082,0.34997529631721036,0.2749309815569199,0.10741078585895429,2.5193251332541213,0.9791044209943073,0.18796347758361737,1.1479806048222734,0.4508483549823745
325,10.0,0.49,0.2,11.0,0.071,13.0,50.0,1.0015,3.16,0.69,9.2,6,0.9654195448809574,0.21128340879926055,0.36446303582288697,6.003030763172082,0.34997529631721036,0.2749309815569199,0.10741078585895429,2.5193251332541213,0.9791044209943073,0.18796347758361737,1.1479806048222734,0.4508483549823745
339,12.5,0.28,0.54,2.3,0.082,12.0,29.0,0.9997,3.11,1.36,9.8,7,2.4017456570033384,1.3844434888439687,1.3814526753011833,0.16942723443430907,0.11618435492247346,0.37056174934232666,0.5311775247568079,1.565300482632046,1.3030683263806235,4.141839629942865,0.5847771110397104,1.6895193508875581
340,12.2,0.34,0.5,2.4,0.066,10.0,21.0,1.0,3.12,1.18,9.2,6,2.2293865235486523,1.0492548945454807,1.1760508269336454,0.09847944135837348,0.4562439060420904,0.5618232849131403,0.774449262134241,1.7243045910690389,1.2382755453033591,3.0796042457269466,1.1479806048222734,0.4508483549823745
347,13.8,0.49,0.67,3.0,0.093,6.0,15.0,0.9986,3.02,0.93,12.0,6,3.148635235306977,0.21128340879926055,2.0490086824956806,0.32720731709723977,0.11760658647226313,0.9443463560547672,0.9569030651673159,0.982285418363013,1.8862033560759888,1.6042773232048406,1.4803023661630152,0.4508483549823745
354,6.1,0.21,0.4,1.4,0.066,40.5,165.0,0.9912,3.25,0.59,11.9,6,1.2752491900299572,1.7754968488588718,0.6625462060148014,0.8079573721177288,0.4562439060420904,2.354915132541766,3.6044420106595565,2.939815923083284,0.3959693912989421,0.4021672914252252,1.3864351171992553,0.4508483549823745
374,14.0,0.41,0.63,3.8,0.089,6.0,47.0,1.0014,3.01,0.81,10.8,6,3.2635413242767672,0.6582015345305782,1.8436068341281429,0.8947896617047238,0.03259169869235881,0.9443463560547672,0.016183884342416837,2.4663237637751236,1.9509961371532532,0.8961204003942292,0.35389537859789244,0.4508483549823745
381,13.7,0.415,0.68,2.9,0.085,17.0,43.0,1.0014,3.06,0.8,10.0,6,3.091182190822081,0.6302691516723707,2.100359144587565,0.25625952402130414,0.052423189087545216,0.1075920895847071,0.10545198434629977,2.4663237637751236,1.627032231766937,0.8371073234933449,0.3970426131121905,0.4508483549823745
391,13.7,0.415,0.68,2.9,0.085,17.0,43.0,1.0014,3.06,0.8,10.0,6,3.091182190822081,0.6302691516723707,2.100359144587565,0.25625952402130414,0.052423189087545216,0.1075920895847071,0.10545198434629977,2.4663237637751236,1.627032231766937,0.8371073234933449,0.3970426131121905,0.4508483549823745
396,6.6,0.735,0.02,7.9,0.122,68.0,124.0,0.9994,3.47,0.53,9.9,5,0.9879839676054811,1.1574033512528992,1.2887713534768064,3.8036491778180808,0.7339645228765689,4.984761246640452,2.3576743566002114,1.406296374194994,1.029471792400843,0.7562457528305305,0.49090986207595044,0.787822640922809
400,6.6,0.735,0.02,7.9,0.122,68.0,124.0,0.9994,3.47,0.53,9.9,5,0.9879839676054811,1.1574033512528992,1.2887713534768064,3.8036491778180808,0.7339645228765689,4.984761246640452,2.3576743566002114,1.406296374194994,1.029471792400843,0.7562457528305305,0.49090986207595044,0.787822640922809
442,15.6,0.685,0.76,3.7,0.1,6.0,43.0,1.0032,2.95,0.68,11.2,7,4.182790036035091,0.8780795226708262,2.51116284132264,0.8238418686287886,0.26638264008709567,0.9443463560547672,0.10545198434629977,3.420348414397199,2.339752823616828,0.1289504006827337,0.7293643744529322,1.6895193508875581
451,8.4,0.37,0.53,1.8,0.413,9.0,26.0,0.9979,3.06,1.06,9.1,6,0.046170833122633696,0.8816605973962368,1.3301022132092988,0.5241661998139866,6.918797608864602,0.657454052698547,0.6224044262733454,0.6112758320099706,1.627032231766937,2.371447322916336,1.2418478537860334,0.4508483549823745
459,11.6,0.58,0.66,2.2,0.074,10.0,47.0,1.0008,3.25,0.57,9.0,3,1.884668256639281,0.2914994826484715,1.9976582204037963,0.24037502751024437,0.2862141304822821,0.5618232849131403,0.016183884342416837,2.1483155469010202,0.3959693912989421,0.520193445226994,1.3357151027497933,3.265164632733176
467,8.8,0.46,0.45,2.6,0.065,7.0,18.0,0.9947,3.32,0.79,14.0,6,0.27598301106221484,0.37887770594850445,0.9192985164742234,0.0434161447934977,0.4774976279870665,0.8487155882693604,0.8656761636507785,1.0847679913181307,0.057580076241897156,0.7780942465924606,3.357647345438221,0.4508483549823745
480,10.6,0.28,0.39,15.5,0.069,6.0,23.0,1.0026,3.12,0.66,9.2,5,1.3101378117903286,1.3844434888439687,0.6111957439229169,9.19568145158918,0.3924827402071622,0.9443463560547672,0.7136313277898828,3.1023401975230955,1.2382755453033591,0.010924246880965043,1.1479806048222734,0.787822640922809
494,6.5,0.39,0.23,8.3,0.051,28.0,91.0,0.9952,3.44,0.55,12.1,6,1.0454370120903762,0.7699310659634073,0.21041164954723374,4.087440350121823,0.7750497352167315,1.1595305352241814,1.3541784399182994,0.8197611439231425,0.8350934491690527,0.6382195990287619,1.5741696151267752,0.4508483549823745
515,8.5,0.655,0.49,6.1,0.122,34.0,151.0,1.001,3.31,1.14,9.3,5,0.10362387760752874,0.710485225521582,1.124700364841761,2.526588902451241,0.7339645228765689,1.733315141936622,3.1787164702490487,2.2543182858590156,0.007212704835364363,2.8435519381234093,1.0541133558585118,0.787822640922809
517,10.4,0.61,0.49,2.1,0.2,5.0,16.0,0.9994,3.16,0.63,8.4,3,1.1952317228205385,0.45909377979771565,1.124700364841761,0.31132282058617994,2.391754834584702,1.039977123840174,0.9264940979951368,1.406296374194994,0.9791044209943073,0.16611498382168793,1.8989185965323547,3.265164632733176
544,14.3,0.31,0.74,1.8,0.075,6.0,15.0,1.0008,2.86,0.79,8.4,6,3.4359004577314534,1.2168491916947248,2.4084619171388715,0.5241661998139866,0.264960408537306,0.9443463560547672,0.9569030651673159,2.1483155469010202,2.9228878533121962,0.7780942465924606,1.8989185965323547,0.4508483549823745
554,15.5,0.645,0.49,4.2,0.095,10.0,23.0,1.00315,2.92,0.74,11.1,5,4.125336991550196,0.6546204598051673,1.124700364841761,1.1785808340084662,0.16011403036221528,0.5618232849131403,0.7136313277898828,3.3938477296576415,2.5341311668486184,0.483028862088039,0.6354971254891724,0.787822640922809
555,15.5,0.645,0.49,4.2,0.095,10.0,23.0,1.00315,2.92,0.74,11.1,5,4.125336991550196,0.6546204598051673,1.124700364841761,1.1785808340084662,0.16011403036221528,0.5618232849131403,0.7136313277898828,3.3938477296576415,2.5341311668486184,0.483028862088039,0.6354971254891724,0.787822640922809
557,15.6,0.645,0.49,4.2,0.095,10.0,23.0,1.00315,2.92,0.74,11.1,5,4.182790036035091,0.6546204598051673,1.124700364841761,1.1785808340084662,0.16011403036221528,0.5618232849131403,0.7136313277898828,3.3938477296576415,2.5341311668486184,0.483028862088039,0.6354971254891724,0.787822640922809
568,9.8,0.5,0.49,2.6,0.25,5.0,20.0,0.999,3.31,0.79,10.7,6,0.8505134559111673,0.1554186430828458,1.124700364841761,0.0434161447934977,3.4544409318335045,1.039977123840174,0.8048582293064203,1.1942908962790035,0.007212704835364363,0.7780942465924606,0.26002812963413086,0.4508483549823745
584,11.8,0.33,0.49,3.4,0.093,54.0,80.0,1.0002,3.3,0.76,10.7,7,1.9995743456090722,1.1051196602618953,1.124700364841761,0.6109984894009818,0.11760658647226313,3.6459304976447573,1.0196798010243289,1.8303073300270343,0.07200548591262876,0.6010550158898077,0.26002812963413086,1.6895193508875581
588,5.0,0.42,0.24,2.0,0.06,19.0,50.0,0.9917,3.72,0.74,14.0,8,1.9072326793638048,0.6023367688141634,0.15906118745534942,0.38227061366211557,0.5837662377119469,0.2988536251555206,0.10741078585895429,2.674809075688237,2.6492913193324155,0.483028862088039,3.357647345438221,2.9281903467927415
591,6.6,0.39,0.49,1.7,0.07,23.0,149.0,0.9922,3.12,0.5,11.5,6,0.9879839676054811,0.7699310659634073,1.124700364841761,0.5951139928899222,0.37122901826218613,0.6813766962971477,3.1178985359046902,2.4098022282932487,1.2382755453033591,0.9332849835331836,1.0109661213442138,0.4508483549823745
595,8.9,0.595,0.41,7.9,0.086,30.0,109.0,0.9998,3.27,0.57,9.3,5,0.3334360555471099,0.3752966312230936,0.7138966681066855,3.8036491778180808,0.03116946714256943,1.350792070794995,1.9015398490175242,1.6183018521110437,0.2663838291444162,0.520193445226994,1.0541133558585118,0.787822640922809
608,10.1,0.65,0.37,5.1,0.11,11.0,65.0,1.0026,3.32,0.64,10.4,6,1.0228725893658523,0.6825528426633746,0.508494819739148,1.8171109716918856,0.4789198595368562,0.46619251712773346,0.5635452934416415,3.1023401975230955,0.057580076241897156,0.10710190692080361,0.021573617257149028,0.4508483549823745
614,9.2,0.755,0.18,2.2,0.148,10.0,103.0,0.9969,2.87,1.36,10.2,6,0.505795189001795,1.2691328826857287,0.4671639600066559,0.24037502751024437,1.2865612934459463,0.5618232849131403,1.7190860459844493,0.08126213721993523,2.858095072234932,4.141839629942865,0.2093081151846706,0.4508483549823745
636,9.6,0.88,0.28,2.4,0.086,30.0,147.0,0.9979,3.24,0.53,9.4,5,0.7356073669413762,1.9674424541409123,0.046340660912188414,0.09847944135837348,0.03116946714256943,1.350792070794995,3.057080601560332,0.6112758320099706,0.46076217237620365,0.7562457528305305,0.9602461068947519,0.787822640922809
639,8.9,0.29,0.35,1.9,0.067,25.0,57.0,0.997,3.18,1.36,10.3,6,0.3334360555471099,1.3285787231275543,0.4057938955553791,0.45321840673805114,0.4349901840971144,0.8726382318679612,0.3202735560642083,0.1342635066989329,0.8495188588397814,4.141839629942865,0.11544086622090897,0.4508483549823745
649,6.7,0.42,0.27,8.6,0.068,24.0,148.0,0.9948,3.16,0.57,11.3,6,0.9305309231205855,0.6023367688141634,0.005009801179696045,4.300283729349629,0.4137364621521383,0.7770074640825544,3.087489568732511,1.031766621839133,0.9791044209943073,0.520193445226994,0.8232316234166939,0.4508483549823745
